,datetime,datenum,avg_power,max_power,avg_energy,minute_diff,energy_diff,out_humid,out_temp,out_light,next_humid,next_temp,next_heatindex,predicted_time_diff
15,17-Nov-2021 13:18:00,738477.554166667,2817.7,2854.5,330.2,12,0.0699999999999932,50.9472222222222,33.8083333333333,54612,69.0263888888889,27.0805555555556,28.9095833333333,7.5676775
16,17-Nov-2021 13:30:00,738477.5625,2891.2,3033.9,330.27,11,0.0900000000000318,50.1106060606061,33.8787878787879,54612,69.1045454545455,27.2272727272727,29.1610606060606,7.556244
17,17-Nov-2021 13:41:00,738477.570138889,2856.23,2882.0,330.36,12,0.120000000000005,50.1222222222222,33.9625,54612,69.2291666666667,27.3555555555555,29.3945833333333,7.5471773
18,17-Nov-2021 13:53:00,738477.578472222,2613.0,2885.4,330.48,21,0.25,48.6079365079365,34.1674603174603,54612,69.4285714285714,27.4880952380952,29.6495238095238,7.634837
19,17-Nov-2021 14:14:00,738477.593055556,2805.83,2833.6,330.73,9,0.0799999999999841,47.6074074074074,34.2648148148148,54612,69.4666666666667,27.5888888888889,29.8324074074074,7.6645784
20,17-Nov-2021 14:23:00,738477.599305556,3025.9,3081.7,330.81,11,0.180000000000007,48.7,34.3257575757576,54612,69.4515151515151,27.6,29.8501515151515,7.6187677
21,17-Nov-2021 14:34:00,738477.606944444,2786.77,2838.2,330.99,9,0.0799999999999841,48.5703703703704,34.2481481481481,54612,69.3944444444444,27.6092592592593,29.8587037037037,7.5991335
22,17-Nov-2021 14:43:00,738477.613194444,2996.9,3122.8,331.07,10,0.120000000000005,49.83,34.2266666666667,54612,69.3683333333333,27.68,29.9891666666667,7.511507
23,17-Nov-2021 14:53:00,738477.620138889,3011.5,3171.8,331.19,11,0.149999999999977,50.0560606060606,34.3606060606061,54612,69.3560606060606,27.7227272727273,30.065,7.5033712
24,17-Nov-2021 15:04:00,738477.627777778,2810.33,2899.1,331.34,10,0.0900000000000318,50.2,34.2316666666667,54612,69.315,27.775,30.1555,7.452692
25,17-Nov-2021 15:14:00,738477.634722222,3080.0,3308.6,331.43,23,0.279999999999973,50.3144927536232,34.4326086956522,54612,68.286231884058,27.7804347826087,30.0626811594203,7.290681
26,17-Nov-2021 15:37:00,738477.650694444,2823.37,2836.2,331.71,11,0.100000000000023,50.2106060606061,34.4681818181818,54612,57.2969696969697,26.6151515151515,27.4690909090909,6.6648016
27,17-Nov-2021 15:48:00,738477.658333333,2936.15,3067.4,331.81,12,0.120000000000005,51.0208333333333,34.2541666666667,54612,57.7736111111111,26.0541666666667,26.7886111111111,7.027586
28,17-Nov-2021 16:00:00,738477.666666667,2904.37,3177.3,331.93,12,0.110000000000014,51.5472222222222,33.9541666666667,54612,58.0902777777778,25.6708333333333,25.8102777777778,7.242488
29,17-Nov-2021 16:12:00,738477.675,2908.67,3082.7,332.04,12,0.120000000000005,52.4788732394366,33.8140845070423,54612,60.9916666666667,25.6027777777778,25.8105555555556,7.612997
30,17-Nov-2021 16:24:00,738477.683333333,2743.3,2762.3,332.16,13,0.109999999999957,53.0384615384615,33.6653846153846,54612,60.8467532467532,25.4974025974026,25.6911688311688,7.694372
31,17-Nov-2021 16:37:00,738477.692361111,2770.03,2801.7,332.27,12,0.110000000000014,53.2875,33.5861111111111,54612,62.6625,25.3916666666667,25.6227777777778,7.91313
32,17-Nov-2021 16:49:00,738477.700694444,2721.27,2728.0,332.38,15,0.120000000000005,54.3266666666667,33.3888888888889,54612,62.9077777777778,25.3288888888889,25.5594444444444,8.054342
33,17-Nov-2021 17:04:00,738477.711111111,2717.2,2769.4,332.5,15,0.100000000000023,54.9611111111111,33.2888888888889,54612,62.8488888888889,25.2733333333333,25.4974444444444,8.131898
34,17-Nov-2021 17:19:00,738477.721527778,2751.73,2779.0,332.6,14,0.0999999999999659,56.8880952380952,33.0761904761905,54612,64.0154761904762,25.1916666666667,25.437380952381,8.457559
35,17-Nov-2021 17:33:00,738477.73125,2722.17,2752.8,332.7,14,0.0900000000000318,57.7880952380952,32.8630952380952,54612,63.9678571428571,25.1476190476191,25.3875,8.540588
36,17-Nov-2021 17:47:00,738477.740972222,2843.5,2959.7,332.79,12,0.120000000000005,57.1513888888889,32.6652777777778,54612,64.6694444444445,25.1555555555556,25.4151388888889,8.478223
37,17-Nov-2021 17:59:00,738477.749305556,2732.43,2815.7,332.91,14,0.089999999999975,58.8619047619048,32.4464285714286,54612,65.1940476190476,25.1345238095238,25.4058333333333,8.695666
38,17-Nov-2021 18:13:00,738477.759027778,2777.25,2830.7,333.0,16,0.110000000000014,60.5489583333333,32.0333333333333,54612,65.4125,25.1270833333333,25.4029166666667,8.84002
39,17-Nov-2021 18:29:00,738477.770138889,2750.1,2922.0,333.11,60,0.159999999999968,59.8680555555556,31.3944444444444,54612,65.1708333333333,25.07,25.3341944444444,8.6357155
40,17-Nov-2021 19:29:00,738477.811805556,1814.7,86.5,333.27,24,0.0699999999999932,61.9694444444444,31.0347222222222,54612,65.3069444444445,25.0479166666667,25.3133333333333,8.777529
41,17-Nov-2021 19:53:00,738477.828472222,2761.07,2886.6,333.34,27,0.110000000000014,63.8385093167702,30.8751552795031,54612,65.7327160493827,25.0222222222222,25.295987654321,8.974296
42,17-Nov-2021 20:20:00,738477.847222222,2642.2,2677.9,333.45,23,0.0900000000000318,65.2123188405797,30.7086956521739,54612,66.5043795620438,25.0094890510949,25.3023357664234,9.1426325
43,17-Nov-2021 20:43:00,738477.863194444,2688.7,2874.7,333.54,44,0.129999999999995,66.9897338403042,30.5182509505704,54612,66.8435606060606,24.9234848484849,25.2164015151515,9.344255
44,18-Nov-2021 09:12:00,738478.383333333,2751.0,2819.9,334.45,62,0.28000000000003,61.6193452380952,31.2342261904762,54612,58.8456456456457,25.7804804804805,26.0915915915916,7.923868
45,18-Nov-2021 10:14:00,738478.426388889,2790.03,2853.8,334.73,16,0.0999999999999659,59.1736842105263,31.9431578947368,54612,60.8697916666667,25.428125,25.6157291666667,8.142024
46,18-Nov-2021 10:30:00,738478.4375,2817.3,2884.2,334.83,24,0.110000000000014,59.0368055555556,31.98125,54612,63.3291666666667,25.3951388888889,25.6435416666667,8.351623
47,18-Nov-2021 10:54:00,738478.454166667,2758.43,2894.8,334.94,13,0.100000000000023,58.6935897435897,32.4974358974359,54612,64.475641025641,25.4423076923077,25.7725641025641,8.486323
48,18-Nov-2021 11:07:00,738478.463194444,2643.85,2674.8,335.04,13,0.0699999999999932,57.4051282051282,32.4858974358974,54612,67.401282051282,26.1423076923077,27.3941025641026,8.252282
49,18-Nov-2021 11:20:00,738478.472222222,2814.53,2968.0,335.11,12,0.089999999999975,58.1763888888889,32.3569444444445,54612,68.8555555555556,26.6694444444444,28.2413888888889,8.20397
50,18-Nov-2021 11:32:00,738478.480555556,2813.5,2896.1,335.2,14,0.120000000000005,56.9095238095238,32.9071428571429,54612,69.322619047619,27.027380952381,28.8453571428571,8.068294
51,18-Nov-2021 11:46:00,738478.490277778,2758.1,2859.2,335.32,13,0.110000000000014,55.2871794871795,33.4730769230769,54612,68.9820512820513,27.2217948717949,29.1437179487179,7.8458347
52,18-Nov-2021 11:59:00,738478.499305556,2378.3,2710.2,335.43,12,0.089999999999975,55.1319444444444,33.6013888888889,54612,68.9458333333333,27.4194444444444,29.4776388888889,7.7501583
53,18-Nov-2021 12:11:00,738478.507638889,2743.7,2772.8,335.52,11,0.0900000000000318,55.1560606060606,33.4757575757576,54612,68.6545454545455,27.5878787878788,29.7419696969697,7.624466
