datetime,avg_power,max_power,avg_energy,minute_diff,energy_diff,energy_start,energy_stop,out_humid,out_temp,out_light,next_humid,next_temp,next_heatindex
19-Nov-2021 19:07:00,2712.87,2720.7,343.72,14,0.109999999999957,343.72,343.83,63.1571428571429,32.4309523809524,54612,70.4,28.2964285714286,31.31
19-Nov-2021 19:21:00,2731.63,2816.5,343.83,14,0.120000000000005,343.83,343.95,64.2583333333333,32.2928571428571,54612,69.4714285714286,28.3166666666667,31.2138095238095
19-Nov-2021 19:35:00,2696.8,2703.9,343.95,14,0.100000000000023,343.95,344.05,65.0869047619048,32.2071428571429,54612,69.7619047619048,28.4583333333333,31.5429761904762
19-Nov-2021 19:49:00,2871.73,3182.6,344.05,15,0.149999999999977,344.05,344.2,65.8133333333333,32.1211111111111,54612,70.8811111111111,28.4922222222222,31.7906666666667
19-Nov-2021 20:04:00,2670.5,2686.3,344.2,14,0.120000000000005,344.2,344.32,66.5547619047619,32.0261904761905,54612,71.2060240963856,28.4132530120482,31.674578313253
19-Nov-2021 20:18:00,2675.97,2685.3,344.32,13,0.0900000000000318,344.32,344.41,67.3538461538461,31.8717948717949,54612,71.2794871794872,28.3961538461538,31.6517948717949
19-Nov-2021 20:31:00,2836.8,2962.4,344.41,13,0.149999999999977,344.41,344.56,67.8923076923077,31.8371794871795,54612,71.3179487179487,28.4,31.6661538461538
19-Nov-2021 20:44:00,2678.8,2709.8,344.56,13,0.129999999999995,344.56,344.69,68.3012987012987,31.7727272727273,54612,71.175641025641,28.4038461538461,31.6492307692308
19-Nov-2021 20:57:00,2658.1,2672,344.69,12,0.089999999999975,344.69,344.78,67.6513888888889,31.7083333333333,54612,71.2458333333334,28.425,31.7061111111111
19-Nov-2021 21:09:00,2954.6,3173.1,344.78,11,0.0900000000000318,344.78,344.87,67.6106060606061,31.6909090909091,54612,71.4378787878788,28.4621212121212,31.8159090909091
20-Nov-2021 10:25:00,2633.27,2776.5,345.95,71,0.180000000000007,345.95,346.13,65.3700507614213,31.4733502538071,54612,68.1477088948787,25.2045822102426,25.7422911051213
20-Nov-2021 11:36:00,2827.23,2907.8,346.13,18,0.100000000000023,346.13,346.23,61.25,32.0342592592593,54612,69.7259259259259,26.4685185185185,27.9793518518519
20-Nov-2021 11:54:00,2842.93,3006.4,346.23,16,0.109999999999957,346.23,346.34,60.590625,32.4302083333333,54612,69.5572916666667,26.790625,28.47625
20-Nov-2021 12:10:00,2815.75,2888.2,346.34,14,0.07000000000005,346.34,346.41,58.572619047619,32.8702380952381,54612,69.7904761904762,27.0202380952381,28.8740476190476
20-Nov-2021 12:24:00,2933.1,3012.2,346.41,9,0.139999999999986,346.41,346.55,57.6277777777778,33.2166666666667,54612,70.7388888888889,27.1666666666667,29.2077777777778
20-Nov-2021 12:33:00,2699.67,2731.4,346.55,9,0.139999999999986,346.55,346.69,57.3351851851852,33.5055555555556,54612,71.0888888888889,27.3166666666667,29.5088888888889
20-Nov-2021 12:42:00,2734.5,2752.1,346.69,9,0.129999999999995,346.69,346.82,55.5777777777778,33.9722222222222,54612,71.587037037037,27.4962962962963,29.8972222222222
20-Nov-2021 12:51:00,2783.23,2824.1,346.82,11,0.139999999999986,346.82,346.96,55.0287878787879,34.180303030303,54612,71.88,27.6907692307692,30.3038461538462
20-Nov-2021 13:02:00,2777.63,2828,346.96,12,0.0699999999999932,346.96,347.03,53.2541666666667,34.2430555555556,54612,63.6527777777778,26.8458333333333,28.2620833333333
20-Nov-2021 13:14:00,2866.7,2928.1,347.03,13,0.160000000000025,347.03,347.19,54.5884615384615,33.8807692307692,54612,59.8602564102564,25.65,25.880641025641
20-Nov-2021 13:27:00,2703.13,2721.2,347.19,12,0.100000000000023,347.19,347.29,56.4611111111111,33.7388888888889,54612,56.6625,25.1111111111111,25.1568055555556
20-Nov-2021 13:39:00,2741.73,2772.4,347.29,13,0.109999999999957,347.29,347.4,56.0935897435897,33.8307692307692,54612,56.8589743589744,25.0076923076923,25.0475641025641
20-Nov-2021 13:52:00,2826.4,2915.8,347.4,11,0.100000000000023,347.4,347.5,54.9106060606061,34.1712121212121,54612,59.5878787878788,24.769696969697,24.8572727272727
20-Nov-2021 14:03:00,2859.93,2995,347.5,15,0.0799999999999841,347.5,347.58,54.4977777777778,34.2288888888889,54612,60.6933333333333,24.9255555555556,25.0577777777778
20-Nov-2021 14:18:00,937.03,86.1,347.58,229,0.370000000000005,347.58,347.95,68.5463947560087,31.17902403496,54612,64.0611798980335,24.6401310997815,24.8322505462491
20-Nov-2021 18:07:00,2693.1,2770,347.95,162,0.270000000000039,347.95,348.22,79.4219361483007,29.3649845520083,54612,69.5647785787848,24.8602471678682,25.217929969104
21-Nov-2021 09:55:00,2563.37,2651.1,349.49,67,0.189999999999998,349.49,349.68,70.5918635170604,31.8994750656168,54612,66.8708994708995,25.008201058201,25.310582010582
21-Nov-2021 11:02:00,2745.97,2824.2,349.68,17,0.0999999999999659,349.68,349.78,66.5911764705882,32.8441176470588,54612,67.2264705882353,25.1274509803922,25.4511764705882
21-Nov-2021 11:19:00,2667.9,2688.9,349.78,18,0.0900000000000318,349.78,349.87,64.0935185185185,33.3287037037037,54612,67.6731481481482,25.0907407407408,25.4224074074074
21-Nov-2021 11:37:00,2771.8,2867.5,349.87,21,0.0699999999999932,349.87,349.94,65.2404761904762,33.2515873015873,54612,69.0309523809524,25.1063492063492,25.4748412698413
21-Nov-2021 11:58:00,1960.23,82.9,349.94,18,0.129999999999995,349.94,350.07,63.0588785046729,33.3261682242991,54612,68.7685185185185,25.0759259259259,25.4344444444444
21-Nov-2021 12:16:00,2774.73,2887.7,350.07,15,0.0900000000000318,350.07,350.16,61.5155555555556,33.6333333333333,54612,68.7344444444444,25.0511111111111,25.4061111111111
21-Nov-2021 12:31:00,2777.87,2861.7,350.16,13,0.089999999999975,350.16,350.25,59.174358974359,34.0628205128205,54612,66.9987179487179,24.9794871794872,25.2823076923077
21-Nov-2021 12:44:00,2791.83,2895.2,350.25,16,0.0699999999999932,350.25,350.32,58.4010416666667,34.1177083333334,54612,67.3385416666667,25.0239583333333,25.3405208333333
21-Nov-2021 13:00:00,2928.45,2972.4,350.32,15,0.110000000000014,350.32,350.43,57.1738636363636,34.4420454545455,54612,68.0443181818182,25.0795454545455,25.4194318181818
21-Nov-2021 13:15:00,2899.07,3049.8,350.43,14,0.110000000000014,350.43,350.54,56.0047619047619,34.6,54612,68.2440476190476,25.0833333333333,25.4285714285714
21-Nov-2021 13:29:00,1912.6,86.5,350.54,13,0.0499999999999545,350.54,350.59,56.5576923076923,34.5192307692308,54612,67.3012820512821,25.0717948717949,25.3910256410256
21-Nov-2021 13:42:00,3004.3,3056.5,350.59,13,0.120000000000005,350.59,350.71,54.1833333333333,34.5474358974359,54612,68.4519480519481,25.0662337662338,25.4158441558442
21-Nov-2021 13:55:00,2846.1,2934,350.71,5,0.0800000000000409,350.71,350.79,51.9,34.7,54612,66.9933333333333,25.0466666666667,25.3553333333333
21-Nov-2021 14:00:00,2857.97,2880.3,350.79,7,0.0999999999999659,350.79,350.89,50.9,34.7119047619048,54612,68.647619047619,25.0952380952381,25.452619047619
21-Nov-2021 14:07:00,2789.77,2815.7,350.89,8,0.0500000000000114,350.89,350.94,50.7208333333333,34.7125,54612,67.0270833333333,25.00625,25.3129166666667
21-Nov-2021 14:15:00,2934.2,2955.8,350.94,11,0.160000000000025,350.94,351.1,50.9787878787879,34.6075757575758,54612,68.0393939393939,25.0272727272727,25.3616666666667
21-Nov-2021 14:26:00,2809.9,2862,351.1,10,0.089999999999975,351.1,351.19,52.5216666666667,34.6,54612,68.6033333333333,25.0733333333333,25.428
21-Nov-2021 14:36:00,2961.83,3078.1,351.19,12,0.149999999999977,351.19,351.34,52.3541666666667,34.7069444444444,54612,68.1347222222222,25.0819444444444,25.4245833333333
21-Nov-2021 14:48:00,2831.37,2880.4,351.34,10,0.07000000000005,351.34,351.41,52.6633333333333,34.7616666666667,54612,68.8166666666667,25.0916666666667,25.453
21-Nov-2021 14:58:00,2938.3,3030.3,351.41,12,0.149999999999977,351.41,351.56,51.6069444444444,34.6902777777778,54612,69.0597222222222,25.0708333333333,25.43625
21-Nov-2021 15:10:00,2816.13,2854.4,351.56,11,0.100000000000023,351.56,351.66,52.4727272727273,34.7136363636364,54612,68.7878787878788,25.0727272727273,25.4316666666667
21-Nov-2021 15:21:00,2867.87,2935.4,351.66,11,0.089999999999975,351.66,351.75,52.5606060606061,34.769696969697,54612,68.2545454545455,25.0545454545455,25.3972727272727
21-Nov-2021 15:32:00,2985.53,3263.2,351.75,11,0.100000000000023,351.75,351.85,51.6712121212121,34.7136363636364,54612,68.1833333333333,25.0681818181818,25.4109090909091
21-Nov-2021 15:43:00,3008.13,3109.7,351.85,9,0.149999999999977,351.85,352,52.3555555555556,34.6259259259259,54612,66.8055555555556,24.9888888888889,25.2872222222222
21-Nov-2021 15:52:00,2751.85,2803.4,352,13,0.089999999999975,352,352.09,53.3103896103896,34.4454545454545,54612,66.5461538461539,24.8974358974359,25.1796153846154
21-Nov-2021 16:05:00,2812.83,2890.4,352.09,11,0.0900000000000318,352.09,352.18,53.430303030303,34.1772727272727,54612,68.7651515151515,24.9939393939394,25.3442424242424
21-Nov-2021 16:16:00,3024.4,3151.1,352.18,19,0.149999999999977,352.18,352.33,54.3859649122807,34.1271929824562,54612,69.140350877193,25.019298245614,25.3821929824561
21-Nov-2021 16:35:00,2785.8,2836.7,352.33,11,0.0800000000000409,352.33,352.41,55.3363636363636,34.0166666666667,54612,69.8757575757576,25.0287878787879,25.4124242424242
21-Nov-2021 16:46:00,2800.7,3007.5,352.41,3,0.149999999999977,352.41,352.56,54.9944444444444,34,54612,68.25,25.0611111111111,25.405
21-Nov-2021 16:49:00,2919.7,2931.2,352.56,34,0.100000000000023,352.56,352.66,57.8029411764706,33.8029411764706,54612,69.2617647058824,24.9387254901961,25.296568627451
21-Nov-2021 17:23:00,2902.8,3057.9,352.66,22,0.119999999999948,352.66,352.78,61.8174242424242,33.2507575757576,54612,70.1396946564885,24.9740458015267,25.3582442748092
21-Nov-2021 17:45:00,2877,2881.5,352.78,19,0.140000000000043,352.78,352.92,64.4684210526316,32.8535087719298,54612,69.7701754385965,24.9833333333333,25.3583333333333
21-Nov-2021 18:04:00,2738.5,2795.2,352.92,18,0.109999999999957,352.92,353.03,65.6759259259259,32.4601851851852,54612,69.5842592592593,24.9796296296296,25.3493518518519
21-Nov-2021 18:22:00,2818.45,2922.6,353.03,16,0.120000000000005,353.03,353.15,66.6677083333333,32.2229166666667,54612,69.825,24.9802083333333,25.3564583333333
21-Nov-2021 18:38:00,2715.13,2815.5,353.15,15,0.0800000000000409,353.15,353.23,66.7577777777778,32.0811111111111,54612,70.8411111111111,25.03,25.4381111111111
21-Nov-2021 18:53:00,2759.43,2907.6,353.23,16,0.0999999999999659,353.23,353.33,67.634375,31.7572916666667,54612,70.0395833333333,24.9864583333333,25.3692708333333
21-Nov-2021 19:09:00,2771.7,2869.8,353.33,153,0.360000000000014,353.33,353.69,70.270925684485,31.039113428944,54612,68.6703896103896,24.9131168831169,25.2527272727273
24-Nov-2021 08:43:00,2503.9,2570,366.67,148,0.269999999999982,366.67,366.94,68.824099378882,27.4739130434783,54612,71.3975520195837,27.8186046511628,30.491199510404
24-Nov-2021 11:11:00,1740.03,83.6,366.94,34,0.0699999999999932,366.94,367.01,63.1549019607843,28.9642156862745,54612,70.5453201970443,28.0891625615763,30.914433497537
24-Nov-2021 11:45:00,2434.13,2733.2,367.01,23,0.100000000000023,367.01,367.11,61.5847826086957,29.2760869565217,54612,70.3386861313869,28.1,30.9078832116788
24-Nov-2021 12:08:00,2660.77,2732.7,367.11,21,0.110000000000014,367.11,367.22,60.1103174603175,29.7174603174603,54612,70.231746031746,28.0968253968254,30.8868253968254
24-Nov-2021 12:29:00,2582.67,2609.4,367.22,7,0.0699999999999932,367.22,367.29,60.6285714285714,29.8071428571428,54612,70.1642857142857,28.1,30.8830952380952
24-Nov-2021 12:36:00,2569.43,2620.7,367.29,10,0.139999999999986,367.29,367.43,60.3033333333333,29.9633333333333,54612,69.9389830508475,28.0932203389831,30.8377966101695
24-Nov-2021 12:46:00,2597.85,2605.7,367.43,11,0.0500000000000114,367.43,367.48,60.930303030303,29.8045454545455,54612,69.6333333333333,28.0469696969697,30.7084848484849
24-Nov-2021 12:57:00,2702.6,2834.3,367.48,14,0.109999999999957,367.48,367.59,62.3738095238095,29.4142857142857,54612,70.0785714285714,27.9440476190476,30.5691666666667
24-Nov-2021 13:11:00,2726.45,2821.9,367.59,16,0.130000000000052,367.59,367.72,62.50625,29.571875,54612,70.0166666666667,27.96875,30.6083333333333
24-Nov-2021 13:27:00,2591.7,2762.7,367.72,15,0.129999999999995,367.72,367.85,62.8377777777778,29.5944444444444,54612,69.9144444444444,27.9966666666667,30.6495555555555
24-Nov-2021 13:42:00,2564.27,2584.9,367.85,16,0.109999999999957,367.85,367.96,61.9729166666667,30.1166666666667,54612,70.009375,27.9958333333333,30.659375
24-Nov-2021 13:58:00,2564.17,2614,367.96,17,0.129999999999995,367.96,368.09,62.4303921568628,29.9254901960784,54612,70.1343137254902,27.9941176470588,30.6736274509804
24-Nov-2021 14:15:00,2553.95,2562.2,368.09,16,0.0900000000000318,368.09,368.18,62.865625,29.8166666666667,54612,70.3333333333334,28.0072916666667,30.725
24-Nov-2021 14:31:00,2693.43,2853,368.18,17,0.120000000000005,368.18,368.3,62.7303921568628,29.8519607843137,54612,70.2990196078431,28.0980392156863,30.8985294117647
24-Nov-2021 14:48:00,2661.7,2783.2,368.3,18,0.129999999999995,368.3,368.43,62.7214953271028,29.9046728971963,54612,70.3046296296296,28.0990740740741,30.9018518518518
24-Nov-2021 15:06:00,2571.15,2575.3,368.43,17,0.0999999999999659,368.43,368.53,63.1676470588235,29.9421568627451,54612,70.3450980392157,28.1,30.9097058823529
24-Nov-2021 15:23:00,2719.6,2876.1,368.53,18,0.130000000000052,368.53,368.66,62.5018518518518,30.0435185185185,54612,70.3509259259259,28.1,30.9094444444444
24-Nov-2021 15:41:00,2653.1,2825.1,368.66,18,0.109999999999957,368.66,368.77,61.9157407407407,30.2361111111111,54612,70.188785046729,28.1,30.884953271028
24-Nov-2021 15:59:00,2815.95,2882.2,368.77,30,0.129999999999995,368.77,368.9,61.8872222222222,30.0627777777778,54612,63.8811111111111,26.8244444444444,28.1645555555556
24-Nov-2021 16:29:00,2792.8,2823.8,368.9,24,0.140000000000043,368.9,369.04,62.5402777777778,29.6965277777778,54612,64.6090277777778,26.4020833333333,27.6033333333333
24-Nov-2021 16:53:00,2708.07,2869.5,369.04,40,0.139999999999986,369.04,369.18,64.0466666666667,29.3520833333333,54612,66.6133333333333,26.2129166666667,27.452375
24-Nov-2021 17:33:00,2778.6,2870.3,369.18,30,0.120000000000005,369.18,369.3,64.7833333333333,29.0094444444445,54612,67.1527777777778,26.1116666666667,27.3398333333333
24-Nov-2021 18:03:00,2686.05,2788.6,369.3,33,0.149999999999977,369.3,369.45,66.7535353535354,28.5868686868687,54612,65.1388888888889,25.6282828282828,26.1485858585859
25-Nov-2021 09:20:00,2613.75,2644.5,370.24,187,0.279999999999973,370.24,370.52,55.0684516880093,30.0966239813737,54612,69.4137891077636,24.8455388180765,25.1986095017381
25-Nov-2021 12:27:00,2004.9,82.9,370.52,27,0.140000000000043,370.52,370.66,50.5246913580247,31.7166666666667,54612,67.9,26.0469135802469,27.2720987654321
25-Nov-2021 12:54:00,2795.53,2919.2,370.66,22,0.089999999999975,370.66,370.75,49.469696969697,32.1022727272727,54612,67.0871212121212,26.5007575757576,27.8759090909091
25-Nov-2021 13:16:00,2860.53,2998.3,370.75,25,0.100000000000023,370.75,370.85,49.5566666666667,32.2353333333333,54612,66.9543624161074,26.8389261744966,28.3641610738255
25-Nov-2021 13:41:00,2932.75,2996.8,370.85,21,0.109999999999957,370.85,370.96,49.2928571428571,32.7444444444444,54612,66.9238095238096,27.0539682539683,28.6887301587302
25-Nov-2021 14:02:00,2846.83,3106.3,370.96,18,0.110000000000014,370.96,371.07,48.9462962962963,32.9453703703704,54612,66.8925925925926,27.1194444444445,28.7903703703704
25-Nov-2021 14:20:00,2710.13,2756.6,371.07,18,0.110000000000014,371.07,371.18,48.8388888888889,33.1796296296296,54612,66.975,27.2212962962963,28.9614814814815
25-Nov-2021 14:38:00,2696.05,2721.5,371.18,9,0.110000000000014,371.18,371.29,48.3814814814815,33.2148148148148,54612,66.9925925925926,27.2944444444445,29.08
25-Nov-2021 14:47:00,2721.5,2735.1,371.29,11,0.109999999999957,371.29,371.4,48.2272727272727,33.2166666666667,54612,66.9727272727273,27.3030303030303,29.0921212121212
25-Nov-2021 14:58:00,2663.9,2693.5,371.4,12,0.110000000000014,371.4,371.51,48.8236111111111,32.9513888888889,54612,66.9361111111111,27.3263888888889,29.1258333333333
25-Nov-2021 15:10:00,2696.33,2762.6,371.51,12,0.0900000000000318,371.51,371.6,49.6,32.6208333333333,54612,66.9138888888889,27.3847222222222,29.2169444444445
25-Nov-2021 15:22:00,2838.8,3129.4,371.6,13,0.109999999999957,371.6,371.71,50.3807692307692,32.35,54612,66.8948717948718,27.4128205128205,29.26
25-Nov-2021 15:35:00,2799.13,2925.9,371.71,14,0.120000000000005,371.71,371.83,50.9219512195122,32.0512195121951,54612,66.9583333333333,27.4880952380952,29.3867857142857
25-Nov-2021 15:49:00,2681.13,2751.8,371.83,14,0.100000000000023,371.83,371.93,51.4083333333333,31.9011904761905,54612,66.7285714285714,27.5404761904762,29.4519047619048
26-Nov-2021 07:46:00,2610,2706.5,372.85,192,0.299999999999955,372.85,373.15,60.3785498489426,29.0208459214501,54612,66.6613981762918,24.9595744680851,25.2511550151976
26-Nov-2021 10:58:00,1920.9,85.5,373.15,45,0.150000000000034,373.15,373.3,56.4159851301115,30.4066914498141,54612,67.2259259259259,25.1203703703704,25.4431111111111
26-Nov-2021 11:43:00,2799.8,3010.5,373.3,29,0.120000000000005,373.3,373.42,53.5724137931034,30.8580459770115,54612,67.7580459770115,25.1063218390805,25.4413793103448
26-Nov-2021 12:12:00,2690.03,2767.8,373.42,72,0.149999999999977,373.42,373.57,51.2575406032483,31.5183294663573,54612,67.4272727272727,25.0522144522144,25.3736596736597
26-Nov-2021 13:24:00,2795.65,2894.8,373.57,23,0.0900000000000318,373.57,373.66,51.2876811594203,31.5891304347826,54612,67.3231884057971,25.0492753623188,25.3676086956522
26-Nov-2021 13:47:00,2892.35,2988.8,373.66,27,0.109999999999957,373.66,373.77,51.0728395061728,31.5216049382716,54612,68.0358024691358,25.0722222222222,25.4112962962963
26-Nov-2021 14:14:00,2738.67,2880.2,373.77,21,0.110000000000014,373.77,373.88,51.7555555555556,31.5920634920635,54612,68.0746031746032,25.0603174603175,25.3992857142857
26-Nov-2021 14:35:00,2633.55,2642.1,373.88,20,0.0699999999999932,373.88,373.95,52.3394957983193,31.572268907563,54612,69.0958333333333,25.0591666666667,25.4248333333333
26-Nov-2021 14:55:00,2691.9,2811.3,373.95,19,0.0600000000000023,373.95,374.01,52.3622807017544,31.5578947368421,54612,69.0921052631579,25.0508771929825,25.415350877193
26-Nov-2021 15:14:00,1918.43,81.7,374.01,24,0.139999999999986,374.01,374.15,52.3819444444444,31.3895833333333,54612,70.3979166666667,25.0590277777778,25.4588194444444
26-Nov-2021 15:38:00,2641.75,2658.6,374.15,18,0.07000000000005,374.15,374.22,51.5361111111111,31.3796296296296,54612,70.0324074074074,25.0796296296296,25.4715740740741
26-Nov-2021 15:56:00,2782.13,2916,374.22,21,0.109999999999957,374.22,374.33,51.7357142857143,31.2134920634921,54612,69.508,25.0528,25.42824
26-Nov-2021 16:17:00,2683.97,2743.5,374.33,30,0.120000000000005,374.33,374.45,52.3077777777778,30.985,54612,68.9794444444445,25.0033333333333,25.3598333333333
26-Nov-2021 16:47:00,2183.3,2629.5,374.45,19,0.0600000000000023,374.45,374.51,53.5614035087719,30.5315789473684,54612,69.1008771929825,24.9982456140351,25.3572807017544
26-Nov-2021 17:06:00,2727.33,2865.4,374.51,30,0.110000000000014,374.51,374.62,54.2872222222222,30.1638888888889,54612,68.8005586592179,25.0083798882682,25.360782122905
26-Nov-2021 17:36:00,2722.77,2877.7,374.62,178,0.29000000000002,374.62,374.91,58.6873477038425,28.8851921274602,54612,67.7196813495783,24.9613870665417,25.2810871602624
26-Nov-2021 20:34:00,1853.83,80.8,374.91,45,0.129999999999995,374.91,375.04,61.1307407407407,27.9885185185185,54612,69.0466666666667,25.0340740740741,25.3956666666667
26-Nov-2021 21:19:00,2622.73,2668.3,375.04,41,0.129999999999995,375.04,375.17,61.9032520325203,27.6991869918699,54612,69.2130081300813,25.0223577235772,25.3872357723577
26-Nov-2021 22:00:00,1693.93,84.9,375.17,72,0.120000000000005,375.17,375.29,64.6638051044084,27.2719257540603,54612,68.8710648148148,25.0340277777778,25.3909027777778
26-Nov-2021 23:12:00,2475.45,2695.4,375.29,27,0.0999999999999659,375.29,375.39,66.3512345679012,26.9796296296296,54612,69.1234567901234,25.7456790123457,26.6603703703704
26-Nov-2021 23:39:00,2564.33,2705.4,375.39,30,0.110000000000014,375.39,375.5,67.5422222222222,26.7911111111111,54612,68.8245810055866,26.1603351955307,27.4777653631285
27-Nov-2021 09:36:00,2617.5,2687.4,375.91,260,0.419999999999959,375.91,376.33,54.298,29.110275862069,54612,67.2807295251204,24.9586373021334,25.2665726083964
27-Nov-2021 13:56:00,2709.93,2801.4,376.33,37,0.129999999999995,376.33,376.46,48.6294117647059,30.5678733031674,54612,70.140990990991,24.8117117117117,25.1794594594595
27-Nov-2021 14:33:00,2650.7,2762.9,376.46,55,0.150000000000034,376.46,376.61,48.6309090909091,30.9503030303031,54612,70.0300911854103,24.831914893617,25.1989665653495
28-Nov-2021 10:03:00,2600.77,2706.7,377.74,21,0.110000000000014,377.74,377.85,58.0169014084507,26.8901408450704,54612,66.2958904109589,26.9013698630137,28.407397260274
28-Nov-2021 10:24:00,2604.9,2648.2,377.85,26,0.0999999999999659,377.85,377.95,56.5230769230769,27.4724358974359,54612,61.9846153846154,26.8916666666667,28.1528205128205
28-Nov-2021 10:50:00,2521.45,2533.2,377.95,292,0.420000000000016,377.95,378.37,48.7787549971445,29.9636778983438,54612,63.9967447173044,25.2052541404913,25.4628383780697
30-Nov-2021 08:13:00,2512.33,2606.4,383.98,215,0.339999999999975,383.98,384.32,47.8835098335855,29.8473524962179,54612,65.0173252279635,25.5311550151976,26.1408510638298
