datetime,avg_power,max_power,avg_energy,minute_diff,energy_diff,out_humid,out_temp,out_light,next_humid,next_temp,next_heatindex,predicted_en_per_minute
18-Sep-2021 22:15:00,2744.0,2879.4,92.58,8,0.100000000000009,91.5181818181818,28.5977272727273,15.0,77.6531914893617,26.3574468085106,28.2406382978723,0.011135449
19-Sep-2021 13:48:00,2893.43,3090.6,93.39,4,0.189999999999998,80.6333333333333,29.1,2275.16666666667,68.0125,24.98125,25.31125,0.012271913
19-Sep-2021 13:52:00,2871.27,2884.0,93.58,6,0.140000000000001,70.8138888888889,31.9638888888889,2159.66666666667,69.9222222222222,25.1,25.4927777777778,0.017925102
19-Sep-2021 13:58:00,2723.13,2741.5,93.72,4,0.0400000000000063,68.5458333333333,32.6458333333333,2061.625,69.6125,25.4791666666667,25.8991666666667,0.018404648
19-Sep-2021 14:02:00,2814.37,2917.7,93.76,7,0.189999999999998,69.0642857142857,32.7119047619048,1793.2619047619,70.1714285714286,25.6952380952381,26.5759523809524,0.017622607
19-Sep-2021 14:09:00,2665.43,2710.0,93.95,4,0.039999999999992,69.0833333333333,32.6375,1665.25,71.0583333333333,25.8416666666667,27.10125,0.016744427
19-Sep-2021 14:13:00,2667.5,2802.3,93.99,6,0.120000000000005,68.7305555555556,32.6527777777778,1860.13888888889,71.2583333333334,25.9472222222222,27.2647222222222,0.016683148
19-Sep-2021 14:19:00,2767.75,2843.0,94.11,8,0.189999999999998,68.8833333333333,32.78125,1900.47916666667,71.71875,26.0083333333333,27.3697916666667,0.017579524
19-Sep-2021 14:27:00,2628.67,2656.6,94.3,5,0.0799999999999983,68.1566666666667,32.6333333333333,1795.8,72.01,26.0933333333333,27.5123333333333,0.017008549
19-Sep-2021 14:32:00,2575.4,2599.1,94.38,5,0.0700000000000074,68.8333333333333,32.5933333333333,1660.83333333333,72.21,26.1,27.53,0.017363334
19-Sep-2021 14:37:00,2575.1,2810.9,94.45,6,0.11999999999999,69.85,32.4611111111111,1494.36111111111,72.3916666666667,26.1583333333333,27.63,0.017495535
19-Sep-2021 14:43:00,2699.1,2874.1,94.57,7,0.140000000000001,69.6428571428571,32.4761904761905,1567.28571428571,72.5547619047619,26.2309523809524,27.755,0.017555984
19-Sep-2021 14:50:00,2579.87,2595.5,94.71,6,0.120000000000005,69.9861111111111,32.3277777777778,1537.94444444444,72.7805555555556,26.2972222222222,27.8733333333333,0.017387627
19-Sep-2021 14:56:00,2595.45,2621.1,94.83,5,0.0700000000000074,70.2333333333333,32.2466666666667,1133.6,72.9766666666667,26.32,27.9203333333333,0.017407598
19-Sep-2021 15:01:00,2685.63,2801.6,94.9,6,0.0999999999999943,71.6888888888889,31.9611111111111,689.944444444444,73.1333333333333,26.4,28.065,0.017167835
19-Sep-2021 15:07:00,2729.0,2776.4,95.0,3,0.140000000000001,72.0111111111111,31.6666666666667,447.555555555556,73.3555555555556,26.4333333333333,28.1338888888889,0.016510641
19-Sep-2021 15:10:00,2705.43,2709.0,95.14,6,0.0799999999999983,72.9083333333333,31.3972222222222,381.027777777778,73.6,26.4527777777778,28.1802777777778,0.015276464
19-Sep-2021 15:16:00,2747.97,2811.6,95.22,7,0.150000000000006,74.1,31.2214285714286,127.47619047619,73.7071428571429,26.4976190476191,28.2633333333333,0.01481841
19-Sep-2021 15:23:00,2616.53,2634.8,95.37,5,0.0799999999999983,75.9133333333334,30.4666666666667,58.4666666666667,73.92,26.5,28.2823333333333,0.013680928
19-Sep-2021 15:28:00,2534.37,2553.7,95.45,5,0.0699999999999932,79.6866666666666,29.3333333333333,116.733333333333,74.22,26.5133333333333,28.323,0.012132216
19-Sep-2021 15:33:00,2653.0,2730.8,95.52,7,0.109999999999999,82.2714285714286,28.8452380952381,136.642857142857,74.6642857142857,26.5333333333333,28.387380952381,0.01194984
19-Sep-2021 15:40:00,2701.9,2763.8,95.63,7,0.140000000000001,83.0928571428571,28.5238095238095,84.9285714285714,74.980487804878,26.5926829268293,28.5146341463415,0.011875416
19-Sep-2021 15:47:00,2525.9,2558.9,95.77,5,0.0499999999999972,83.9366666666667,28.3433333333333,91.8,75.3225806451613,26.6,28.5503225806451,0.011931017
19-Sep-2021 15:52:00,2543.77,2689.4,95.82,6,0.110000000000014,83.7861111111111,28.3833333333333,68.3055555555556,75.3333333333333,26.6,28.5525,0.011954761
19-Sep-2021 15:58:00,2483.1,2503.8,95.93,5,0.0599999999999881,82.1166666666667,27.8933333333333,52.7666666666667,75.4241379310345,26.6,28.558275862069,0.011760776
19-Sep-2021 16:03:00,2555.2,2749.3,95.99,6,0.0799999999999983,84.7805555555556,27.7,57.5555555555556,75.3638888888889,26.6,28.5538888888889,0.011846342
19-Sep-2021 16:09:00,2552.8,2671.5,96.07,7,0.100000000000009,88.0261904761905,27.1952380952381,36.2619047619048,75.6023809523809,26.6,28.5692857142857,0.011171662
19-Sep-2021 16:16:00,2476.13,2513.0,96.17,6,0.0699999999999932,87.7444444444444,27.0111111111111,67.4166666666667,75.9194444444444,26.6,28.5905555555556,0.011303292
19-Sep-2021 16:22:00,2589.4,2715.9,96.24,7,0.100000000000009,87.8142857142857,26.7261904761905,125.666666666667,76.1309523809524,26.602380952381,28.6097619047619,0.011482327
19-Sep-2021 16:29:00,2441.7,2471.6,96.34,8,0.109999999999999,88.0,26.5291666666667,149.979166666667,76.7666666666667,26.6645833333333,28.775,0.011765591
19-Sep-2021 16:37:00,2426.27,2447.8,96.45,6,0.0499999999999972,88.4388888888889,26.1555555555556,171.555555555556,76.8861111111111,26.6944444444445,28.8416666666667,0.011836266
19-Sep-2021 16:43:00,2586.1,2629.1,96.5,7,0.0799999999999983,88.1268292682927,26.1341463414634,202.829268292683,76.9142857142857,26.7119047619048,28.8790476190476,0.011946714
19-Sep-2021 16:50:00,2570.7,2686.2,96.58,7,0.0900000000000034,87.3095238095238,25.9666666666667,237.666666666667,76.7857142857143,26.7285714285714,28.9016666666667,0.012225694
