,datetime,avg_power,max_power,avg_energy,minute_diff,energy_diff,energy_start,energy_stop,out_humid,out_temp,out_light,next_humid,next_temp,next_heatindex,predicted_en_per_minute,cal_energy_diff
16,17-Nov-2021 13:30:00,2891.2,3033.9,330.27,11,0.0900000000000318,330.27,330.36,50.1106060606061,33.8787878787879,54612,69.1045454545455,27.2272727272727,29.1610606060606,0.011668261,0.1283508725464344
17,17-Nov-2021 13:41:00,2856.23,2882.0,330.36,12,0.120000000000005,330.36,330.48,50.1222222222222,33.9625,54612,69.2291666666667,27.3555555555555,29.3945833333333,0.011638568,0.13966281339526176
18,17-Nov-2021 13:53:00,2613.0,2885.4,330.48,11,0.139999999999986,330.48,330.62,49.1318181818182,34.1757575757576,54612,69.419696969697,27.4590909090909,29.5963636363636,0.011331889,0.12465077731758356
19,17-Nov-2021 14:04:00,2851.47,2914.7,330.62,10,0.110000000000014,330.62,330.73,48.0316666666667,34.1583333333333,54612,69.4383333333333,27.52,29.708,0.011025392,0.11025392450392246
20,17-Nov-2021 14:14:00,2805.83,2833.6,330.73,9,0.0799999999999841,330.73,330.81,47.6074074074074,34.2648148148148,54612,69.4666666666667,27.5888888888889,29.8324074074074,0.010946533,0.09851879440248013
21,17-Nov-2021 14:23:00,3025.9,3081.7,330.81,11,0.180000000000007,330.81,330.99,48.7,34.3257575757576,54612,69.4515151515151,27.6,29.8501515151515,0.011282123,0.12410334963351488
22,17-Nov-2021 14:34:00,2786.77,2838.2,330.99,9,0.0799999999999841,330.99,331.07,48.5703703703704,34.2481481481481,54612,69.3944444444444,27.6092592592593,29.8587037037037,0.011261786,0.10135607700794935
23,17-Nov-2021 14:43:00,2996.9,3122.8,331.07,10,0.120000000000005,331.07,331.19,49.83,34.2266666666667,54612,69.3683333333333,27.68,29.9891666666667,0.011631937,0.11631936766207218
24,17-Nov-2021 14:53:00,3011.5,3171.8,331.19,11,0.149999999999977,331.19,331.34,50.0560606060606,34.3606060606061,54612,69.3560606060606,27.7227272727273,30.065,0.01176604,0.12942643743008375
25,17-Nov-2021 15:04:00,2810.33,2899.1,331.34,10,0.0900000000000318,331.34,331.43,50.2,34.2316666666667,54612,69.315,27.775,30.1555,0.011797161,0.11797160841524601
26,17-Nov-2021 15:14:00,3080.0,3308.6,331.43,11,0.139999999999986,331.43,331.57,50.1878787878788,34.4257575757576,54612,69.3757575757576,27.8015151515152,30.21,0.011776892,0.12954580690711737
27,17-Nov-2021 15:25:00,2864.8,2895.0,331.57,12,0.139999999999986,331.57,331.71,50.4305555555556,34.4388888888889,54612,67.2875,27.7611111111111,29.9276388888889,0.013160304,0.1579236499965191
28,17-Nov-2021 15:37:00,2823.37,2836.2,331.71,11,0.100000000000023,331.71,331.81,50.2106060606061,34.4681818181818,54612,57.2969696969697,26.6151515151515,27.4690909090909,0.010434977,0.11478474456816912
29,17-Nov-2021 15:48:00,2936.15,3067.4,331.81,12,0.120000000000005,331.81,331.93,51.0208333333333,34.2541666666667,54612,57.7736111111111,26.0541666666667,26.7886111111111,0.010595651,0.12714781612157822
30,17-Nov-2021 16:00:00,2904.37,3177.3,331.93,12,0.110000000000014,331.93,332.04,51.5472222222222,33.9541666666667,54612,58.0902777777778,25.6708333333333,25.8102777777778,0.011270054,0.13524064421653748
31,17-Nov-2021 16:12:00,2908.67,3082.7,332.04,12,0.120000000000005,332.04,332.16,52.4788732394366,33.8140845070423,54612,60.9916666666667,25.6027777777778,25.8105555555556,0.012708509,0.15250211209058762
32,17-Nov-2021 16:24:00,2743.3,2762.3,332.16,13,0.109999999999957,332.16,332.27,53.0384615384615,33.6653846153846,54612,60.8467532467532,25.4974025974026,25.6911688311688,0.012734465,0.16554804891347885
33,17-Nov-2021 16:37:00,2770.03,2801.7,332.27,12,0.110000000000014,332.27,332.38,53.2875,33.5861111111111,54612,62.6625,25.3916666666667,25.6227777777778,0.013735541,0.16482649371027946
34,17-Nov-2021 16:49:00,2721.27,2728.0,332.38,15,0.120000000000005,332.38,332.5,54.3266666666667,33.3888888888889,54612,62.9077777777778,25.3288888888889,25.5594444444444,0.013728927,0.20593390334397554
35,17-Nov-2021 17:04:00,2717.2,2769.4,332.5,15,0.100000000000023,332.5,332.6,54.9611111111111,33.2888888888889,54612,62.8488888888889,25.2733333333333,25.4974444444444,0.013716874,0.20575310569256544
36,17-Nov-2021 17:19:00,2751.73,2779.0,332.6,14,0.0999999999999659,332.6,332.7,56.8880952380952,33.0761904761905,54612,64.0154761904762,25.1916666666667,25.437380952381,0.0144004375,0.2016061246395111
37,17-Nov-2021 17:33:00,2722.17,2752.8,332.7,14,0.0900000000000318,332.7,332.79,57.7880952380952,32.8630952380952,54612,63.9678571428571,25.1476190476191,25.3875,0.014055709,0.19677993096411228
38,17-Nov-2021 17:47:00,2843.5,2959.7,332.79,12,0.120000000000005,332.79,332.91,57.1513888888889,32.6652777777778,54612,64.6694444444445,25.1555555555556,25.4151388888889,0.013826702,0.1659204214811325
39,17-Nov-2021 17:59:00,2732.43,2815.7,332.91,14,0.089999999999975,332.91,333.0,58.8619047619048,32.4464285714286,54612,65.1940476190476,25.1345238095238,25.4058333333333,0.013812294,0.19337211921811104
40,17-Nov-2021 18:13:00,2777.25,2830.7,333.0,16,0.110000000000014,333.0,333.11,60.5489583333333,32.0333333333333,54612,65.4125,25.1270833333333,25.4029166666667,0.012995375,0.20792600512504578
41,17-Nov-2021 18:29:00,2750.1,2922.0,333.11,60,0.159999999999968,333.11,333.27,59.8680555555556,31.3944444444444,54612,65.1708333333333,25.07,25.3341944444444,0.011661248,0.6996748968958855
42,17-Nov-2021 19:29:00,1814.7,86.5,333.27,24,0.0699999999999932,333.27,333.34,61.9694444444444,31.0347222222222,54612,65.3069444444445,25.0479166666667,25.3133333333333,0.01096064,0.26305536925792694
43,17-Nov-2021 19:53:00,2761.07,2886.6,333.34,27,0.110000000000014,333.34,333.45,63.8385093167702,30.8751552795031,54612,65.7327160493827,25.0222222222222,25.295987654321,0.010857277,0.2931464686989784
44,17-Nov-2021 20:20:00,2642.2,2677.9,333.45,23,0.0900000000000318,333.45,333.54,65.2123188405797,30.7086956521739,54612,66.5043795620438,25.0094890510949,25.3023357664234,0.010922944,0.25122771598398685
45,17-Nov-2021 20:43:00,2688.7,2874.7,333.54,44,0.129999999999995,333.54,333.67,66.9897338403042,30.5182509505704,54612,66.8435606060606,24.9234848484849,25.2164015151515,0.01083437,0.47671227157115936
46,18-Nov-2021 09:18:00,2686.03,2754.4,334.57,56,0.160000000000025,334.57,334.73,61.6193452380952,31.2342261904762,54612,58.8456456456457,25.7804804804805,26.0915915915916,0.007876181,0.441066138446331
47,18-Nov-2021 10:14:00,2790.03,2853.8,334.73,16,0.0999999999999659,334.73,334.83,59.1736842105263,31.9431578947368,54612,60.8697916666667,25.428125,25.6157291666667,0.009419696,0.15071514248847961
48,18-Nov-2021 10:30:00,2817.3,2884.2,334.83,24,0.110000000000014,334.83,334.94,59.0368055555556,31.98125,54612,63.3291666666667,25.3951388888889,25.6435416666667,0.011210181,0.26904433965682983
49,18-Nov-2021 10:54:00,2758.43,2894.8,334.94,13,0.100000000000023,334.94,335.04,58.6935897435897,32.4974358974359,54612,64.475641025641,25.4423076923077,25.7725641025641,0.012677718,0.16481033340096474
50,18-Nov-2021 11:07:00,2643.85,2674.8,335.04,13,0.0699999999999932,335.04,335.11,57.4051282051282,32.4858974358974,54612,67.401282051282,26.1423076923077,27.3941025641026,0.011582082,0.1505670677870512
51,18-Nov-2021 11:20:00,2814.53,2968.0,335.11,12,0.089999999999975,335.11,335.2,58.1763888888889,32.3569444444445,54612,68.8555555555556,26.6694444444444,28.2413888888889,0.012341216,0.14809459447860718
52,18-Nov-2021 11:32:00,2813.5,2896.1,335.2,14,0.120000000000005,335.2,335.32,56.9095238095238,32.9071428571429,54612,69.322619047619,27.027380952381,28.8453571428571,0.012916416,0.18082982301712036
53,18-Nov-2021 11:46:00,2758.1,2859.2,335.32,13,0.110000000000014,335.32,335.43,55.2871794871795,33.4730769230769,54612,68.9820512820513,27.2217948717949,29.1437179487179,0.012996424,0.16895351186394691
54,18-Nov-2021 11:59:00,2378.3,2710.2,335.43,12,0.089999999999975,335.43,335.52,55.1319444444444,33.6013888888889,54612,68.9458333333333,27.4194444444444,29.4776388888889,0.012979527,0.15575432404875755
55,18-Nov-2021 12:11:00,2743.7,2772.8,335.52,11,0.0900000000000318,335.52,335.61,55.1560606060606,33.4757575757576,54612,68.6545454545455,27.5878787878788,29.7419696969697,0.013161527,0.14477679692208767
56,18-Nov-2021 12:22:00,2734.85,2769.6,335.61,6,0.0600000000000023,335.61,335.67,55.5722222222222,33.1333333333333,54612,68.9055555555555,27.6194444444445,29.8252777777778,0.013076614,0.07845968194305897
57,18-Nov-2021 12:28:00,1988.6,85.5,335.67,6,0.109999999999957,335.67,335.78,56.1,33.1527777777778,54612,69.0583333333333,27.6833333333334,29.9558333333333,0.013071382,0.07842829450964928
58,18-Nov-2021 12:34:00,2760.27,2772.1,335.78,8,0.0600000000000023,335.78,335.84,56.20625,33.4708333333333,54612,69.1604166666667,27.7208333333333,30.0366666666667,0.013145639,0.10516510903835297
59,18-Nov-2021 12:42:00,2831.4,2898.3,335.84,10,0.120000000000005,335.84,335.96,55.98,33.6366666666667,54612,69.1677966101695,27.7932203389831,30.1705084745763,0.013233125,0.1323312520980835
60,18-Nov-2021 12:52:00,2918.4,2945.0,335.96,12,0.210000000000036,335.96,336.17,56.3180555555556,33.5972222222222,54612,69.3708333333333,27.8819444444444,30.3620833333333,0.013550124,0.16260148957371712
61,18-Nov-2021 13:04:00,2749.35,2773.0,336.17,11,0.120000000000005,336.17,336.29,56.7333333333333,33.4727272727273,54612,69.3409090909091,27.9681818181818,30.519696969697,0.013822057,0.15204263012856245
62,18-Nov-2021 13:15:00,2762.0,2788.9,336.29,11,0.0799999999999841,336.29,336.37,57.4060606060606,33.3424242424242,54612,69.4166666666667,28.0060606060606,30.6013636363636,0.014123276,0.1553560346364975
